639.99,771.86,765.84,637.87,725.79,765.24
708.86,732.17,736.58,775.37,790.26,717.07
521.05,634.97,660.12,535.87,655.35,663.61
422.48,534.94,539.48,463.04,535.6,580.19
618.27,672.32,631.35,633.99,659.48,623.71
799.22,860.5,728.46,807.7,851.43,727.59
676,764.27,758.37,694.91,749.04,799.82
523.85,612.59,613.5,548.89,628.11,602.92
577.9,673.02,658.63,628.65,591.9,665.04
625.01,796.05,717.13,640.77,695.37,741.88
877.79,1085.37,1099.36,907.26,1068.81,1021.55
1042.77,1211.36,1066.74,1159.24,1153.73,1185.16
1007.53,1249,1181.61,1035.51,1226.06,1109
895.52,1024.41,1105.09,938.99,1126.79,964.71
987.8,1009.93,1078.02,1021.24,984.23,1104.06
594.27,645.17,602.21,626.27,684.19,639.18
673.03,777.82,728.16,713.65,771.42,744.51
544.66,650.07,620.23,578.9,639.15,648.76
